type,deaths,lat,lon
nationwide,1,11.0024,13.8320
nationwide,2,2.0667,45.3667
nationwide,1,10.5822,13.7935
nationwide,3,12.0833,14.8333
nationwide,2,11.1021,14.0362
nationwide,1,11.1068,14.2056
nationwide,1,11.1053,13.9298
nationwide,6,12.7427,13.6729
nationwide,4,2.0667,45.3667
nationwide,1,11.1068,14.2056
nationwide,10,3.0000,42.0000
nationwide,12,3.3182,43.4731
nationwide,0,0.7470,42.6690
nationwide,1,4.1167,43.9000
nationwide,2,11.1068,14.2056
nationwide,2,12.0833,14.8333
nationwide,3,11.1068,14.2056
nationwide,1,12.0833,14.8333
nationwide,33,10.0000,8.0000
nationwide,1,12.0833,14.8333
nationwide,4,11.1106,14.0389
nationwide,1,12.0833,14.8333
nationwide,4,10.8658,12.8470
nationwide,3,11.1068,14.2056
nationwide,9,12.0833,14.8333
nationwide,9,11.0000,14.5000
nationwide,1,12.0833,14.8333
nationwide,2,10.8239,12.2416
nationwide,1,10.8174,12.0885
nationwide,2,11.8221,14.0226
nationwide,1,10.5822,13.7935
nationwide,3,11.1068,14.2056
nationwide,3,11.9007,14.0269
nationwide,3,11.5778,12.2468
nationwide,1,12.1101,13.9895
nationwide,3,11.5000,13.0000
nationwide,3,11.0184,13.6468
nationwide,3,11.3853,13.6894
nationwide,3,11.1025,13.5993
nationwide,3,11.2192,14.0360
nationwide,7,10.9893,14.2329
nationwide,4,11.5206,14.0966
nationwide,4,11.0983,12.7642
nationwide,3,12.3377,14.1805
nationwide,9,11.7078,14.1092
nationwide,3,11.9179,14.6431
nationwide,2,12.0833,14.8333
nationwide,5,10.5822,13.7935
nationwide,4,12.0833,14.8333
nationwide,16,11.2500,13.4167
nationwide,1,11.1068,14.2056
nationwide,1,10.9660,13.9068
nationwide,2,12.0787,14.4519
nationwide,2,12.1154,14.4778
nationwide,2,2.2967,14.4308
nationwide,2,12.3030,14.4169
nationwide,2,12.3667,14.3500
nationwide,2,12.2830,14.4724
nationwide,10,12.0464,14.4809
nationwide,3,12.3653,13.8293
nationwide,2,11.9116,12.8043
nationwide,5,2.2967,14.4308
nationwide,4,10.6869,13.2693
nationwide,1,6.0000,12.0000
nationwide,1,11.0983,12.7642
nationwide,11,10.7380,13.1307
nationwide,4,10.7380,13.1307
nationwide,2,11.0983,12.7642
nationwide,5,11.0983,12.7642
nationwide,1,11.5861,13.0028
nationwide,2,11.1933,14.0754
nationwide,1,12.9631,13.6090
nationwide,4,11.1557,13.9856
nationwide,1,12.0833,14.8333
nationwide,58,13.6734,13.3388
nationwide,5,11.5221,13.6856
nationwide,2,10.8174,12.0885
nationwide,6,11.1068,14.2056
nationwide,1,6.0000,12.0000
nationwide,1,10.5822,13.7935
nationwide,3,11.1842,13.9142
nationwide,1,11.1842,13.9142
nationwide,3,12.0833,14.8333
nationwide,10,10.9835,13.3501
nationwide,4,10.9835,13.3501
nationwide,3,10.9869,13.2989
nationwide,9,10.9869,13.2989
nationwide,3,10.9660,13.9068
nationwide,24,11.2742,14.2496
nationwide,1,12.2198,14.6543
nationwide,6,10.8382,13.4009
nationwide,2,10.8741,13.5577
nationwide,2,11.5000,13.0000
nationwide,3,11.2500,13.4167
nationwide,2,11.9007,14.0269
nationwide,12,10.5822,13.7935
nationwide,13,12.0833,14.8333
nationwide,12,11.0892,13.8537
nationwide,5,12.7643,13.7075
nationwide,1,12.7643,13.7075
nationwide,25,13.6734,13.3388
nationwide,6,11.8072,12.4909
nationwide,3,10.5822,13.7935
nationwide,15,12.0833,14.8333
nationwide,2,11.1842,13.9142
nationwide,5,12.0833,14.8333
nationwide,1,10.8658,12.8470
nationwide,5,11.7593,12.2561
nationwide,2,12.0833,14.8333
nationwide,1,11.1068,14.2056
nationwide,10,11.1036,13.7130
nationwide,2,10.7689,13.1458
nationwide,2,10.6358,12.8782
nationwide,1,11.2331,14.1711
nationwide,30,8.2694,7.5974
nationwide,1,11.4845,12.3126
nationwide,17,12.1076,11.7539
nationwide,2,9.4103,8.3614
nationwide,1,9.4103,8.3614
nationwide,7,9.4103,8.3614
nationwide,11,9.4103,8.3614
nationwide,1,12.0361,13.9182
nationwide,4,12.7167,12.0333
nationwide,8,10.9166,13.0667
nationwide,4,11.0983,12.7642
nationwide,17,13.6169,13.2644
nationwide,26,12.1976,14.0223
nationwide,5,12.3707,14.2173
nationwide,7,11.3264,13.9666
nationwide,4,5.3114,6.6544
nationwide,2,5.2511,6.6130
nationwide,3,9.3827,8.2681
nationwide,4,10.8658,12.8470
nationwide,4,10.8628,12.9618
nationwide,9,11.2167,13.4557
nationwide,2,11.1036,13.7130
nationwide,8,11.8705,13.2508
nationwide,5,11.8991,13.2916
nationwide,2,11.2500,13.4167
nationwide,21,9.4325,8.3537
nationwide,26,13.3002,12.7167
nationwide,14,9.4325,8.3537
nationwide,8,11.8464,13.1603
nationwide,1,11.8464,13.1603
nationwide,9,11.0983,12.7642
nationwide,5,4.0182,44.5127
nationwide,3,2.0667,45.3667
nationwide,0,3.2072,45.7593
nationwide,1,2.0667,45.3667
nationwide,1,2.1500,45.1167
nationwide,1,2.0667,45.3667
nationwide,1,2.0667,45.3667
nationwide,1,11.1106,14.0389
nationwide,0,2.7833,44.0833
nationwide,14,1.9991,44.9939
nationwide,1,12.3731,14.2277
nationwide,2,12.5514,14.2587
nationwide,0,4.0182,44.5127
nationwide,4,0.0000,42.0000
nationwide,6,-0.0720,42.5706
nationwide,3,-0.3582,42.5454
nationwide,1,11.1543,14.0715
nationwide,2,2.0667,45.3667
nationwide,4,2.7352,41.0177
nationwide,3,11.3181,14.4435
nationwide,1,11.0892,13.8537
nationwide,12,10.5822,13.7935
nationwide,1,11.1144,13.9339
nationwide,1,11.1068,14.2056
nationwide,6,12.3653,13.8293
nationwide,2,12.5785,13.6173
nationwide,6,11.1068,13.5087
nationwide,22,13.6734,13.3388
nationwide,6,13.4316,13.3132
nationwide,14,12.9631,13.6090
nationwide,2,11.3100,14.1871
nationwide,4,11.8354,13.1517
nationwide,0,11.0000,14.5000
nationwide,1,11.1689,14.0926
nationwide,2,11.1144,13.9339
nationwide,2,10.8337,13.1462
nationwide,9,12.6786,13.6079
nationwide,13,12.6379,13.5584
nationwide,2,11.1343,13.3876
nationwide,7,12.9631,13.6090
nationwide,11,11.5221,13.6856
nationwide,1,2.0667,45.3667
nationwide,1,2.0667,45.3667
nationwide,2,11.8705,13.2508
nationwide,7,12.9631,13.6090
nationwide,2,10.7689,13.1458
nationwide,20,11.4699,13.7579
nationwide,7,12.0833,14.8333
nationwide,1,11.1621,14.0115
nationwide,1,11.0461,14.1401
nationwide,45,0.5000,29.4667
nationwide,9,0.6978,29.5186
nationwide,7,0.6978,29.5186
nationwide,51,0.5000,29.4667
nationwide,14,0.5000,29.4667
nationwide,2,0.5000,29.4667
nationwide,14,3.3182,43.4731
nationwide,25,2.0667,45.3667
nationwide,0,2.0537,45.0548
nationwide,0,2.9667,45.5333
nationwide,4,10.9901,49.0552
nationwide,7,0.5000,29.4667
nationwide,2,0.5000,29.4667
nationwide,10,0.5000,29.4667
nationwide,4,0.8935,29.8003
nationwide,6,0.6978,29.5186
nationwide,1,0.7651,29.5697
nationwide,1,0.5000,29.4667
nationwide,2,0.3072,29.6684
nationwide,2,0.3072,29.6684
nationwide,2,0.5000,29.4667
nationwide,1,0.6978,29.5186
nationwide,1,0.5000,29.4667
nationwide,3,0.7651,29.5697
nationwide,1,0.5000,29.4667
nationwide,3,3.6173,29.2676
nationwide,4,-1.0956,29.3839
nationwide,4,-3.2175,40.1191
