id,date,contact,noSkiffs,pob,activityType,success,shipName,noSeafarers,shipType,flagState,crewSize,waterClass,movementType,locationType,locationDescription,lat,lon,theft,armsType,theftType,theftEstimate,injuryDescription,addlInfo,extraNote,notCounted
61,12/20/2016,Direct,13,60,Robbery;Successful Boarding,FALSE,Unknown,2,Yacht,,2,Open water,Steaming,Territorial,"Media Luna Cays, Nicaragua",,,TRUE,Knives,Minor Robbery,"all extra diesel stored in containers, mobile phones, money, clothes, food, fishing equipement, navigation aids, personal effects, various sailing equipment",,https://www.safetyandsecuritynet.com/date-2016-12-20-country-name-nicaragua-location-detail-media-luna-cays-event-piracy/,"The crew managed to keep sailing as they were boarded by 25-30 men, with another 30 in the pangas. The crew protested when they took gear necessary to their continued travel and in a few cases it was reluctantly returned by the leader.",
0,2/11/2016,,2,,,TRUE,,0,,,,,,,,3.6,5.616666667,Minor Robbery,,,,,,,FALSE
0,1/29/2016,,2,14,,TRUE,,0,,,,,,,,2.5,5.583333333,,,,,,,,FALSE
0,1/30/2016,,3,,,FALSE,,0,,,,,,,,3.116666667,6.016666667,,,,,,,,FALSE
0,2/23/2016,,,,,TRUE,,0,,,,,,,,3.716666667,5.316666667,Minor Robbery,,,,,,,FALSE
0,3/5/2016,,1,10,,TRUE,,0,,,,,,,,4.083333333,6.683333333,,,,,,,,FALSE
0,2/26/2016,,1,5,,TRUE,,0,,,,,,,,3.85,4.65,Minor Robbery,,,,,,,FALSE
0,3/26/2016,,1,8,,TRUE,,0,,,,,,,,4.333333333,5.166666667,Minor Robbery,,,,,,,FALSE
0,4/11/2016,,1,8,,TRUE,,0,,,,,,,,2.801111111,6.669166667,Minor Robbery,,,,,,,FALSE
0,4/11/2016,,,,,TRUE,,0,,,,,,,,4.133888889,5.384722222,,,,,,,,FALSE
0,4/19/2016,,,,,TRUE,,0,,,,,,,,3.5,4.833333333,Minor Robbery,,,,,,,FALSE
0,4/20/2016,,,,,TRUE,,0,,,,,,,,3.65,6.133333333,,,,,,,,FALSE
0,4/25/2016,,1,2,,TRUE,,0,,,,,,,,4.75,11.83333333,Minor Robbery,,,,,,,FALSE
0,5/11/2016,,1,7,,TRUE,,0,,,,,,,,6.085277778,1.25,,,,,,,,FALSE
0,6/13/2016,,1,1,,TRUE,,0,,,,,,,,8.735277778,13.28583333,Minor Robbery,,,,,,,FALSE
