country,iso3,region,SSI_RANK,SSI_FINAL,internationalCooperation,ruleOfLaw,coastalWelfare,blueEconomy,fisheries,piracy,illicitTrade,maritimeEnforcement,maritimeMixedMigration
Madagascar,MDG,westIndianOcean,15,0.538422647,0.619047619,0.450233333,0.735905721,0.391847875,0.75658,0.8621063,0.013888889,0.37993128,0.636262807
Mozambique,MOZ,easternCoast,12,0.554838554,0.833333333,0.533453333,0.546197457,0.474543298,0.7593,0.9009054,0.035714286,0.343220832,0.566879048
Mauritius,MUS,westIndianOcean,5,0.675640978,0.666666667,0.709006667,0.845105484,0.574214263,0.64008,0.9880281,0.36,0.659847698,0.637819927
Namibia,NAM,southernCoast,2,0.702590993,0.833333333,0.70294,0.695825492,0.491039796,0.73098,0.9973623,0.725952381,0.456984085,0.688901547
Nigeria,NGA,northernGulf,26,0.465865298,0.869047619,0.44986,0.322847724,0.559853845,0.68198,0,0.017857143,0.846074307,0.445267041
Senegal,SEN,westernCoast,6,0.619844216,0.916666667,0.677533333,0.692072849,0.447439258,0.70006,0.9283977,0.052619048,0.685467981,0.478341107
Sierra Leone,SLE,westernCoast,9,0.583283485,0.78968254,0.495806667,0.65699205,0.375482421,0.72404,0.8152872,0.423809524,0.37540446,0.593046506
Somalia,SOM,easternCoast,30,0.345601938,0.261904762,0.2582,0.249781499,0.280775452,0.62372,0.6954698,0.289722222,0.194098584,0.256745122
Sao Tome and Principe,STP,southernGulf,8,0.592524078,0.904761905,0.68056,0.748515168,0.502059583,0.6346,0.2279224,0.653888889,0.3892267,0.59118206
Seychelles,SYC,westIndianOcean,4,0.685140651,0.666666667,0.647746667,0.873234631,0.60465285,0.75886,0.95955,0.443809524,0.519456177,0.692289344
Togo,TGO,northernGulf,28,0.452410626,0.702380952,0.500653333,0.645852138,0.303011646,0.37298,0.3501371,0.130555556,0.486977965,0.579146941
Tanzania,TZA,easternCoast,7,0.602949132,0.738095238,0.447086667,0.730477488,0.439082769,0.79516,0.9696879,0.2075,0.494667874,0.604784248
South Africa,ZAF,southernCoast,3,0.697320584,0.833333333,0.615186667,0.682587177,0.519006569,0.85864,1,0.392857143,0.740677834,0.633596536
africa,africa,,,0.540359963,0.738227513,0.477118667,0.633164187,0.436148495,0.585383333,0.662502113,0.288877646,0.495672777,0.546144932
easternCoast,easternCoast,,,0.51373662,0.604761905,0.422381333,0.538441285,0.380568651,0.666852,0.86191562,0.222142857,0.446384223,0.480181703
northernGulf,northernGulf,,,0.486155856,0.799206349,0.547813333,0.575524189,0.428936082,0.54552,0.3026545,0.059938492,0.606049282,0.509760472
southernCoast,southernCoast,,,0.630012827,0.763227513,0.526111111,0.611843757,0.521120086,0.74756,0.744026267,0.561617064,0.554798209,0.639811439
southernGulf,southernGulf,,,0.49468867,0.759259259,0.354816667,0.63752056,0.441510677,0.431123333,0.32001885,0.436782407,0.53194889,0.539217386
westernCoast,westernCoast,,,0.56654386,0.829365079,0.504191429,0.665328209,0.409339247,0.5473,0.887282857,0.290660431,0.411924935,0.553502558
westIndianOcean,westIndianOcean,,,0.596839745,0.619047619,0.556503333,0.776786539,0.489783036,0.70978,0.922260225,0.228938492,0.467113319,0.60134514
